COMMANDS USED BELOW so you can copy as needed
openssl req -config C:\Apache2.2\conf\openssl.cnf -new -out C:\Apache2.2\conf\acme.csr -keyout C:\Apache2.2\conf\acme.pem
openssl rsa -in C:\Apache2.2\conf\acme.pem -out C:\Apache2.2\conf\acme.key
openssl x509 -in C:\Apache2.2\conf\acme.csr -out C:\Apache2.2\conf\acme.crt -req -signkey C:\Apache2.2\conf\acme.key -days 3652013-09-20 18:01:17,345 [main] DEBUG com.guillermo.test.test  - This is a debug message
2013-09-20 18:01:17,347 [main] INFO  com.guillermo.test.test  - This is an info message
2013-09-20 18:11:06,834 [main] DEBUG com.guillermo.test.test  - This is a debug message
2013-09-20 18:11:06,836 [main] INFO  com.guillermo.test.test  - This is an info message
2013-09-20 18:12:45,850 [main] DEBUG com.guillermo.test.test  - This is a debug message
2013-09-20 18:12:45,852 [main] INFO  com.guillermo.test.test  - This is an info message
2013-09-20 18:14:35,144 [main] DEBUG com.guillermo.test.test  - This is a debug message
2013-09-20 18:14:35,146 [main] INFO  com.guillermo.test.test  - This is an info message
2013-09-20 18:15:31,018 [main] DEBUG com.guillermo.test.test  - This is a debug message
2013-09-20 18:15:31,020 [main] INFO  com.guillermo.test.test  - This is an info message
2013-09-20 18:15:43,171 [main] DEBUG com.guillermo.test.test  - This is a debug message
2013-09-20 18:15:43,173 [main] INFO  com.guillermo.test.test  - This is an info message
2013-09-20 18:15:54,821 [main] DEBUG com.guillermo.test.test  - This is a debug message
2013-09-20 18:15:54,822 [main] INFO  com.guillermo.test.test  - This is an info message
2013-09-20 18:16:53,542 [main] DEBUG com.guillermo.test.test  - This is a debug message
2013-09-20 18:16:53,544 [main] INFO  com.guillermo.test.test  - This is an info message
2013-09-20 18:17:37,746 [main] DEBUG com.guillermo.test.test  - This is a debug message
2013-09-20 18:17:37,747 [main] INFO  com.guillermo.test.test  - This is an info message
2013-09-20 18:18:00,446 [main] DEBUG com.guillermo.test.test  - This is a debug message
2013-09-20 18:18:00,447 [main] INFO  com.guillermo.test.test  - This is an info message
2013-09-20 18:23:40,801 [main] DEBUG com.guillermo.test.test  - This is a debug message
2013-09-20 18:23:40,803 [main] INFO  com.guillermo.test.test  - This is an info message
2013-09-20 18:37:36,417 [main] DEBUG com.guillermo.test.test  - This is a debug message
2013-09-20 18:37:36,419 [main] INFO  com.guillermo.test.test  - This is an info message
2013-09-20 18:39:11,506 [main] DEBUG com.guillermo.test.test  - This is a debug message
2013-09-20 18:39:11,508 [main] INFO  com.guillermo.test.test  - This is an info message
2013-09-23 08:42:46,459 [main] DEBUG com.guillermo.test.test  - This is a debug message
2013-09-23 08:42:46,501 [main] INFO  com.guillermo.test.test  - This is an info message
2013-09-23 15:40:41,701 [main] DEBUG com.guillermo.test.test  - This is a debug message
2013-09-23 15:40:41,721 [main] INFO  com.guillermo.test.test  - This is an info message
